icao,name,callsign,country
AGO,Angola Air Charter,ANGOLA CHARTER,Angola
AGP,AERFI Group,AIR TARA,Ireland
AGQ,Aerogala,GALASERVICE,Chile
AGR,United States Department Of Agriculture,AGRICULTURE,United States
AGT,Amadeus Global Travel Distribution,AMADEUS,Spain
AGU,Angara Airlines,SARMA,Russia
AGV,Air Glaciers,AIR GLACIERS,Switzerland
AGW,Aero Gambia,AERO GAMBIA,Gambia
AGX,Aviogenex,GENEX,Serbia
AGY,Aero Flight Service,FLIGHT GROUP,United States
AGZ,Agrolet-Mci,AGROLET,Slovakia
AHA,Air Alpha Greenland,AIR ALPHA,Denmark
AHC,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan
AHD,Czech Air Handling,AIRHANDLING,Czech Republic
AHE,Airport Helicopter Basel, Muller & Co.,AIRPORT HELICOPTER
AHF,Aspen Helicopters,ASPEN,United States
AHG,Aerochago Airlines,AEROCHAGO,Dominican Republic
AHH,Airplanes Holdings,AIRHOLD,Ireland
AHI,Servicios Aereos de Chihuahua Aerochisa,AEROCHISA,Mexico
AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
AHM,Garrison Aviation,AIR HURON,Canada
AHO,Air Hamburg (AHO),Air Hamburg,Germany
AHP,Aerochiapas,AEROCHIAPAS,Mexico
AHR,Air Adriatic,ADRIATIC,Croatia
AHS,Air Viggi San Raffaele,AIRSAR,Italy
AHT,HTA Helicopteros,HELIAPRA,Portugal
AHU,ABC Air Hungary,ABC HUNGARY,Hungary
AHW,Aeromist-Kharkiv,AEROMIST,Ukraine
AHY,Azerbaijan Airlines,AZAL,Azerbaijan
AIA,Avies,AVIES,Estonia
AIB,Airbus Industrie,AIRBUS INDUSTRIE,France
AIC,Air India Limited,AIRINDIA,India
AIE,Air Inuit,AIR INUIT,Canada
AIF,Compania Aerea de Valencia,,Spain
AIG,Air Inter Gabon, ,Gabon
AIH,Alpine Air Chile,ALPINE CHILE,Chile
AII,Air Integra,INTEGRA,Canada
AIJ,ABC Aerolineas,ABC AEROLINEAS,Mexico
AIK,African Airlines International Limited,AFRICAN AIRLINES,Kenya
AIL,Air Illinois,AIR ILLINOIS,United States
AIM,Trabajos Aereos Murcianos,PIJO,Spain
AIN,African International Airways,FLY CARGO,Swaziland
AIO,United States Air Force,AIR CHIEF,United States
AIP,Alpine Air Express,ALPINE AIR,United States
AIQ,Thai AirAsia,THAI ASIA,Thailand
AIR,Airlift International,AIRLIFT,United States
AIS,Air Sureste,SURESTE,Spain
AIT,Airest, ,Estonia
AIU,Alicante Internacional Airlines,ALIA,Spain
AIV,Airvias S/A Linhas Aereas,AIRVIAS,Brazil
AIW,Atlantic Island Airways,TARTAN,Canada
AIX,Aircruising Australia,CRUISER,Australia
AIY,Aircrew Check and Training Australia,AIRCREW,Australia
AIZ,Arkia Israel Airlines,ARKIA,Israel
AJA,A J Services,AYJAY SERVICES,United Kingdom
AJB,Aero JBR,AERO JBR,Mexico
AJC,Bar Harbor Airlines,BAR HARBOR,United States
AJE,Aero Jet Express,JET EXPRESS,Mexico
AJF,Avia Consult Flugbetriebs,AVIACONSULT,Austria
AJI,Ameristar Jet Charter,AMERISTAR,United States
AJJ,A2 Jet Leasing,ATLANTIC JET,United States
AJK,Allied Air,BAMBI,Nigeria
AJM,Air Jamaica,JAMAICA,Jamaica
AJO,Aeroejecutivo,AEROEXO,Mexico
AJP,Aero Jets Corporativos,AEROJETS,Mexico
AJS,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia
AJT,Amerijet International,AMERIJET,United States
AJU,Air Jetsul,AIRJETSUL,Portugal
AJV,ANA & JP Express,AYJAY CARGO,Japan
AJW,Alpha Jet International,ALPHAJET,United States
AJX,Air Japan,AIR JAPAN,Japan
AJY,Ajet,AYJET,Cyprus
AKA,Air Korea Co. Ltd.,,Republic of Korea
AKB,Aktjubavia,KARAB,Kazakhstan
AKC,Arca Aerovias Colombianas Ltda.,ARCA,Colombia
AKF,Anikay Air Company,ANIKAY,Kyrgyzstan
AKG,84 Squadron Royal Air Force @ RAF Akrotiri,GRIFTER,United Kingdom
AKH,Akhal,AKHAL,Turkmenistan
AKI,Ibk-Petra, ,Sudan
AKK,Aklak Air,AKLAK,Canada
AKL,Air Kiribati,,Kiribati
AKM,Mak Air,MAKAIR,Kazakhstan
AKN,Alkan Air,ALKAN AIR,Canada
AKR,Arctic Air,Arctic Norway,Norway
AKT,Karat,AVIAKARAT,Russia
AKW,Angkor Airways,ANGKORWAYS,Cambodia
AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
AKY,Yak-Service,YAK-SERVICE,Russia
AKZ,AK Navigator LLC,ABSOLUTE,Kazakhstan
ALB,Aero Albatros,ALBATROS,Mexico
ALC,Southern Jersey Airways, Inc.,ACOM
ALD,Albion Aviation,ALBION,United Kingdom
ALE,Aeroalas Colombia,AEROALAS,Colombia
ALF,Allied Command Europe (Mobile Force),ACEFORCE,Belgium
ALG,Air Logistics,AIRLOG,United States
ALJ,Heli Ambulance Team,ALPIN HELI,Austria
ALK,SriLankan Airlines,SRILANKAN,Sri Lanka
ALL,Aerovallarta,VALLARTA,Mexico
ALM,Air ALM,ANTILLEAN,Netherlands Antilles
ALN,Air Lincoln,CHICAGO LINCOLN,United States
ALO,Allegheny Commuter Airlines,ALLEGHENY,United States
ALP,Alpliner AG,ALPINER,Switzerland
ALQ,Altair Aviation (1986),ALTAIR,Canada
ALR,Lineas Aereas Alaire S.L.,AEROLAIRE,Spain
ALS,Naka Nihon Airlines Service,,Japan
ALU,Air Luxor STP,LUXORJET,Sao Tome and Principe
ALV,Alas de Venezuela,ALVEN,Venezuela
ALW,Alas Nacionales, S.A.,ALNACIONAL
ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo
ALY,Alyeska Air Service,ALYESKA,United States
ALZ,Alta Flights (Charters) Ltd., ,Canada
AMA,ATMA,ADIK,Kazakhstan
AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany
AMC,Air Malta,AIR MALTA,Malta
AMD,Aerolineas Medellin,AEROLINEAS MEDELLIN,Colombia
AME,Spanish Air Force,AIRMIL,Spain
AMF,Ameriflight,AMFLIGHT,United States
AMG,Air Minas Linhas A,AIR MINAS,Brazil
AMH,Alan Mann Helicopters Ltd.,MANN,United Kingdom
AMI,Air Maldives,AIR MALDIVES,Maldives
AMJ,Aviation Amos,AVIATION AMOS,Canada
AMK,Amerer Air,AMER AIR,Austria
AML,Air Malawi,MALAWI,Malawi
AMM,Aeroputul International Marculesti,AEROM,Moldova
AMN,Air Montenegro,MONTENEGRO,Montenegro
AMO,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada
AMP,Aero Transporte S.A. (ATSA),ATSA,Peru
AMQ,Aeromedicare Ltd.,LIFELINE,United Kingdom
AMR,Air Specialties Corporation,AIR AM,United States
AMS,Air Muskoka,AIR MUSKOKA,Canada
AMT,ATA Airlines,AMTRAN,United States
AMU,Air Macau,AIR MACAO,Macao
AMV,AMC Airlines,,Egypt
AMW,Air Midwest,AIR MIDWEST,United States
AMX,AeroMéxico,AEROMEXICO,Mexico
AMY,Air Ambar,AIR AMBAR,Dominican Republic
AMZ,Amiya Airline,AMIYA AIR,Nigeria
ANA,All Nippon Airways,ALL NIPPON,Japan
ANB,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom
ANC,Anglo Cargo,ANGLO,United Kingdom
AND,National Jet Service,AIR INDIANA,United States
ANE,Air Nostrum,AIR NOSTRUM,Spain
ANG,Air Niugini,NUIGINI,Papua New Guinea
ANH,Alajnihah for Air Transport,ALAJNIHAH,Libya
ANI,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria
ANK,Air Nippon,ANK AIR,Japan
ANL,Nacoia Lda,AIR NACOIA,Angola
ANM,Antares Airtransport, Maintenance & Service GmbH,ANTARES
ANO,Airnorth,TOPEND,Australia
ANQ,Aerol,ANTIOQUIA,Colombia
ANS,Andes Lineas Aereas,AEROANDES,Argentina
ANT,Air North Charter - Canada,AIR NORTH,Canada
ANU,Andalus Lineas Aereas,Andalus,Spain
ANV,Air Nevada,AIR NEVADA,United States
ANW,Aviacion Del Noroeste, S.A. de C.V.,AVINOR
ANX,Secretaria de Marina,SECRETARIA DEMARINA,Mexico
ANZ,Air New Zealand,NEW ZEALAND,New Zealand
AOA,Alcon Servicios Aereos, S.A. de C.V.,ALCON
AOC,AVCOM,AERO AVCOM,Russia
AOD,Aero Vodochody,AERO CZECH,Czech Republic
AOE,Air One Executive, ,Italy
AOF,Atair Pty Ltd.,ATAIR,South Africa
AOG,Aero VIP,AVIP,Argentina
AOI,Astoria, Inc.,ASTORIA
AOK,Aeroatlantico Colombia,,Colombia
AOL,Angkor Airlines,ANGKOR AIR,Cambodia
AOM,AOM French Airlines,French Lines,France
AON,Aero Entreprise,AERO ENTERPRISE,France
AOO,As, Opened Joint Stock Company,COMPANY AS
AOP,Aeropiloto,AEROPILOTO,Portugal
AOR,Afro International Ent. Limited,INTER-AFRO,Nigeria
AOS,Servicios Aerecs Del Sol, S.A. de C.V.,AEROSOL
AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines
AOU,Air Tractor,AIR TRACTOR,Croatia
AOV,Aero Vision,AEROVISION,France
AOW,Air Andaman (2Y),AIR ANDAMAN,Thailand
AOX,Aerotaxi Del Valle,AEROVALLE,Colombia
APA,Air Park Aviation Ltd.,CAN-AM,Canada
APC,Airpac Airlines, Inc.,AIRPAC
APD,Sabre Pacific,,Australia
APE,Parcel Express,AIR PARCEL,United States
APF,Amapola Flyg AB,AMAPOLA,Sweden
APG,Air People International,AIR PEOPLE,Thailand
APH,Alpha Aviation, Inc.,AIRFLIGHT
API,ASA Pesada, Lda.,ASA PESADA
APJ,Air Print, S.A.,AIR PRINT
APL,Appalachian Flying Service, Inc.,APPALACHIAN
APM,Airpac, Inc.,ALASKA PACIFIC
APO,Aeropro,AEROPRO,Canada
APP,Aerolineas Pacifico Atlantico, S.A. (Apair),AEROPERLAS
APQ,Aspen Aviation,ASPEN BASE,United States
APT,LAP Colombia - Lineas Aereas Petroleras, S.A.,LAP
APU,Aeropuma, S.A.,AEROPUMA
APV,Air Plan International,AIR PLAN,Democratic Republic of the Congo
APW,Arrow Air,BIG A,United States
APX,Apex Air Cargo,PARCEL EXPRESS,United States
APY,APA Internacional,APA INTERNACIONAL,Dominican Republic
AQA,Aeroatlas, S.A.,ATCO
AQL,Aquila Air Ltd.,AQUILA,Canada
AQN,Air Queensland,BUSHAIR,Australia
AQO,Aluminum Company Of America,ALCOA SHUTTLE,United States
AQT,Aviones de Renta de Quintana Roo, S.A. de C.V.,AVIOQUINTANA
AQU,AirQuarius Aviation,QUARIUS,South Africa
AQZ,Aerodyne Charter Company,QUANZA,United States
ARA,Arik Air,ARIK AIR,Nigeria
ARB,Avia Air N.V.,AVIAIR,Aruba
ARC,Air Routing International Corp., ,United States
ARD,Aerocondor,AEROCONDOR,Portugal
ARE,Aires, Aerovias de Integracion Regional, S.A.
ARF,Aero Flight,Aero Fox,Germany
ARG,Aerolineas Argentinas,ARGENTINA,Argentina
ARH,Arrowhead Airways,ARROWHEAD,United States
ARI,Aero Vics,AEROVICS,Mexico
ARJ,Aerojet de Costa Rica, S.A.,
ARK,Aero Link Air Services S.L.,LINK SERVICE,Spain
ARL,Airlec - Air Aquitaine Transport,AIRLEC,France
ARM,Aeromarket Express,AMEX,Spain
ARO,Arrow Aviation Ltd.,ARROW,Canada
ARP,RPA-Aviataxi Ltd.,,Russia
ARQ,Armstrong Air, Inc.,ARMSTRONG
ARR,Air Armenia,AIR ARMENIA,Armenia
ARS,Aeromet Servicios,METSERVICE,Chile
ART,Aerotal Aerolineas Territoriales de Colombia Ltda,AEROTAL,Colombia
ARU,Aruba Airlines,,Aruba
ARV,Aravco Ltd.,ARAVCO,United Kingdom
ARW,Aria,ARIABIRD,France
ARX,Air Xpress, Inc.,AIREX
ARY,Argosy Airways,GOSEY,United States
ARZ,Air Resorts,AIR RESORTS,United States
ASA,Alaska Airlines, Inc.,ALASKA
ASB,Air-Spray 1967 Ltd.,AIR SPRAY,Canada
ASC,Air Star Corporation,AIR STAR,Canada
ASD,Air Sinai,AIR SINAI,Egypt
ASE,Airstars,MOROZOV,Russia
ASF,Air Schefferville, Inc.,SCHEFF
ASG,African Star Airways (PTY) Ltd.,AFRICAN STAR,South Africa
ASH,Mesa Airlines,AIR SHUTTLE,United States
ASI,Aerosun International, Inc.,AEROSUN
ASJ,Air Satellite,SATELLITE,Canada
ASK,La Ronge Aviation Services,AIR SASK,Canada
ASL,Air Serbia,AIR SERBIA,Serbia
ASM,Awesome Flight Services (PTY) Ltd.,AWESOME,South Africa
ASN,Air and Sea Transport, ,Russia
ASO,Aero Slovakia,AERO NITRA,Slovakia
ASP,Airsprint,AIRSPRINT,Canada
ASQ,Atlantic Southeast Airlines,ACEY,United States
ASR,All Star Airlines, Inc.,ALL STAR
ASS,Air Class, S.A. de C.V.,AIR CLASS
AST,Aerlineas Del Oeste,AEROESTE,Mexico
ASU,Compania Boliviana de Transporte Aereo Privado Aerosur, S.A.,ASUR
ASV,Astravia-Bissau Air Transports Ltd.,ASTRAVIA,Guinea-Bissau
ASW,Air Southwest Ltd.,AIRSOUTHWEST,Canada
ASX,Air Special,AIRSPEC,Czech Republic
ASY,Royal Australian Air Force,AUSSIE,Australia
ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia
ATA,Air Transport Association,,United States
ATB,Atlantair Ltd.,STARLITE,Canada
ATC,Air Tanzania,TANZANIA,Tanzania
ATD,Aerotours Dominicana,AEROTOURS,Dominican Republic
ATE,Atlantis Transportation Services, Ltd.,ATLANTIS CANADA
ATF,Compania Aerotecnicas Fotograficas,AEROTECNICAS,Spain
ATG,Aerotrans Airline,BACHYT,Kazakhstan
ATH,Air Travel Corp.,AIR TRAVEL,United States
ATI,Aero-Tropics Air Services,,Australia
ATJ,Air Traffic GmbH,SNOOPY,Germany
ATK,AeroTACA,AEROTACA,Colombia
ATL,Aerocentral,CENTRALMEX,Mexico
ATM,Airlines Of Tasmania,AIRTAS,Australia
ATN,Air Transport International,AIR TRANSPORT,United States
ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ASTRAL,Colombia
ATQ,Air Transport Schiphol,MULTI,Netherlands
ATR,Atlas Airlines,ATLAS-AIR,United States
ATS,Air Transport Service,,Democratic Republic of the Congo
ATT,Aer Turas,AERTURAS,Ireland
ATU,Atlant Aerobatics Ltd.,ATLANT HUNGARY,Hungary
ATV,Avanti Air,AVANTI AIR,Germany
ATW,Aero Trades (Western) Ltd.,AERO TRADES,Canada
ATX,Warwickshire Aerocentre Ltd.,AIRTAX,United Kingdom
AUA,Austrian Airlines,AUSTRIAN,Austria
AUB,Augsburg Airways,AUGSBURG-AIR,Germany
AUC,Transaustralian Air Express,AUSCARGO,Australia
AUD,Audi Air, Inc.,AUDI AIR
AUF,Augusta Air Luftfahrtunternehmen,AUGUSTA,Germany
AUH,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates
AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine
AUJ,Business Flight Salzburg,AUSTROJET,Austria
AUK,AUOS,AUOS,United Kingdom
AUL,Aeroflot-Nord,DVINA,Russia
AUM,Air Atlantic Uruguay,ATLAMUR,Uruguay
AUN,Aviones Unidos,AVIONES UNIDOS,Mexico
AUO,Empresa (Aero Uruguay), S.A.,UNIFORM OSCAR
AUP,Avia Business Group,,Russia
AUR,Aurigny Air Services,AYLINE,United Kingdom
AUS,Aus-Air,,Australia
AUT,Austral Lineas Aereas,AUSTRAL,Argentina
AUU,Aurora Aviation, Inc.,AURORA AIR
AUX,Air Uganda International Ltd.,,Uganda
AUY,Aerolineas Uruguayas, S.A.,AUSA
AUZ,Australian Airlines,AUSTRALIAN,Australia
AVA,Avianca - Aerovias Nacionales de Colombia, S.A.,AVIANCA
AVB,Aviation Beaufort,BEAUPAIR,United Kingdom
AVD,Alamo Aviacion, S.L.,ALAMO
AVE,Avensa,Avensa,Venezuela
AVF,Aviair Aviation Ltd.,CARIBOO,Canada
AVG,Air Falcon,DJIBOUTI FALCON,Djibouti
AVH,AV8 Helicopters,KENT HELI,United Kingdom
AVJ,Avia Traffic Company,ATOMIC,Kyrgyzstan
AVK,AV8 Helicopters,AVIATE-COPTER,South Africa
AVM,Aviacion Ejecutiva Mexicana, S.A.,AVEMEX
AVN,Air Vanuatu,AIR VAN,Vanuatu
AVO,Aviation at Work,AVIATION WORK,South Africa
AVP,Avcorp Registrations,AVCORP,United Kingdom
AVQ,Aviation Services, Inc.,AQUILINE
AVR,Active Aero Charter, Inc.,ACTIVE AERO
AVS,Avialsa T-35,AVIALSA,Spain
AVT,Asia Avia Airlines,ASIAVIA,Indonesia
AVU,Avia Sud A,AVIASUD,France
AVV,Airvantage Incorporated,AIRVANTAGE,United States
AVW,Aviator Airways,AVIATOR,Greece
AVX,Aviapaslauga,PASLAUGA,Lithuania
AVY,Aerovaradero, S.A.,AEROVARADERO
AVZ,Air Valencia,AIR VALENCIA,Spain
AWA,Asia Wings,,Kazakhstan
AWB,Airways International, Inc.,AIRNAT
AWC,Titan Airways,ZAP,United Kingdom
AWD,Providence Aviation Services,,Pakistan
AWE,America West Airlines,CACTUS,United States
AWI,Air Wisconsin,AIR WISCONSIN,United States
AWJ,Sahel Airlines,SAHEL AIRLINES,Niger
AWK,Airwork,AIRWORK,New Zealand
AWL,Australian Wetleasing,AUSSIEWORLD,Australia
AWM,Asian Wings Airways,Asian Star,Burma
AWN,Air Niamey,AIR NIAMEY,Niger
AWO,Awood Air Ltd.,AWOOD AIR,Canada
AWQ,Indonesia AirAsia,WAGON AIR,Indonesia
AWR,Arctic Wings And Rotors Ltd.,ARCTIC WINGS,Canada
AWS,Arab Wings,ARAB WINGS,Jordan
AWT,Air West,AIR WEST,Canada
AWU,Aeroline GmbH,SYLT-AIR,Germany
AWV,Airwave Transport, Inc.,AIRWAVE
AWW,Air Wales,RED DRAGON,United Kingdom
AWY,Aeroway, S.L.,AEROWEE
AWZ,AirWest, ,Sudan
AXB,Air India Express,EXPRESS INDIA,India
AXC,Indochina Airlines,Airspup,Vietnam
AXD,Air Express,AIR SUDEX,Sudan
AXE,Air Explore,,Slovakia
AXF,Asian Express Airlines,FREIGHTEXPRESS,Australia
AXH,Aeromexhaga,AEROMEXHAGA,Mexico
AXI,Aeron International Airlines, Inc.,AIR FREIGHTER
AXK,African Express Airways,EXPRESS JET,Kenya
AXL,Air Exel,EXEL COMMUTER,Netherlands
AXM,AirAsia,ASIAN EXPRESS,Malaysia
AXN,Alexandair,ALEXANDROS,Greece
AXP,Aeromax,AEROMAX SPAIN,Spain
AXQ,Action Airlines (Action Air Charter),ACTION AIR,United States
AXR,Axel Rent, S.A.,RENTAXEL
AXS,Altus Airlines,ALTUS,United States
AXV,Aviaxess,AXAVIA,France
AXX,Avioimpex A.D.p.o.,IMPEX,Macedonia
AXY,Axis Airways,AXIS,France
AXZ,Aereonautica militare,,Italy
AYB,Belgian Army,BELGIAN ARMY,Belgium
AYD,Aladia Airlines,AIRLINES ALADIA,Mexico
AYK,Aykavia Aircompany,,Armenia
AYM,Airman, S.L.,AIRMAN
AYN,Atlantic Airlines, S.A.,ATLANTIC NICARAGUA
AYR,Flight Training Europe,CYGNET,Spain
AYS,Awsaj Aviation Services,,Libya
AYT,Ayeet Aviation & Tourism,AYEET,Israel
AYU,Yuhi Air Lines,,Japan
AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
AZA,Alitalia,ALITALIA,Italy
AZB,Azamat,TUMARA,Kazakhstan
AZE,Arcus-Air Logistic,ARCUS AIR,Germany
AZF,Air Zermatt AG,AIR ZERMATT,Switzerland
AZG,Sakaviaservice,SAKSERVICE,Georgia
AZI,Azzurra Air,AZZURRA,Italy
AZK,Azalhelikopter,AZALHELICOPTER,Azerbaijan
AZL,Africa One,SKY AFRICA,Zambia
